View|Date|White|Black|W ELO|B ELO|Av ELO|Event|Site|ECO|Opening|Round|Res|# Mvs
Download PGNView game in new windowView game|2013-09-02|Andreikin, Dmitry|Kramnik, Vladimir|2709|2794|2751|FIDE World Cup 2013|Tromso NOR|A36|English Opening, Symmetrical Variation, Symmetrical Variation|7.4|½-½|34
Download PGNView game in new windowView game|2013-09-02|Eljanov, Pavel|Jakovenko, Dmitry|2706|2724|2715|14th Karpov GM|Poikovsky RUS|E32|Nimzo-Indian Defense, Classical Variation|5.1|1-0|36
Download PGNView game in new windowView game|2013-09-01|Kramnik, Vladimir|Andreikin, Dmitry|2794|2709|2751|FIDE World Cup 2013|Tromso NOR|D45|Semi-Slav Defense, Accelerated Meran Variation|7.3|½-½|27
Download PGNView game in new windowView game|2013-08-31|Andreikin, Dmitry|Kramnik, Vladimir|2716|2784|2750|FIDE World Cup 2013|Tromso NOR|D37|Queen's Gambit Declined, Harrwitz Attack|7.2|½-½|33
Download PGNView game in new windowView game|2013-08-30|Kramnik, Vladimir|Andreikin, Dmitry|2784|2716|2750|FIDE World Cup 2013|Tromso NOR|D58|Queen's Gambit Declined, Tartakower Defense, General|7.1|1-0|63
Download PGNView game in new windowView game|2013-08-28|Kramnik, Vladimir|Vachier-Lagrave, Maxime|2784|2719|2751|FIDE World Cup 2013|Tromso NOR|A04|Zukertort Opening, Sicilian Invitation|6.4|½-½|38
Download PGNView game in new windowView game|2013-08-28|Andreikin, Dmitry|Tomashevsky, Evgeny|2716|2706|2711|FIDE World Cup 2013|Tromso NOR|D15|Slav Defense, Chameleon Variation, Advance System|6.4|1-0|42
Download PGNView game in new windowView game|2013-08-28|Tomashevsky, Evgeny|Andreikin, Dmitry|2706|2716|2711|FIDE World Cup 2013|Tromso NOR|D35|Queen's Gambit Declined, Exchange Variation, Positional Variation|6.3|½-½|37
Download PGNView game in new windowView game|2013-08-28|Eljanov, Pavel|Nepomniachtchi, Ian|2702|2723|2712|14th Karpov GM|Poikovsky RUS|A48|Torre Attack, Fianchetto Defense|1.2|½-½|69
Download PGNView game in new windowView game|2013-08-28|Vachier-Lagrave, Maxime|Kramnik, Vladimir|2719|2784|2751|FIDE World Cup 2013|Tromso NOR|C45|Scotch Game, Malaniuk Variation|6.3|0-1|22
Download PGNView game in new windowView game|2013-08-27|Kramnik, Vladimir|Vachier-Lagrave, Maxime|2784|2719|2751|FIDE World Cup 2013|Tromso NOR|D17|Slav Defense, Czech Variation, Krause Attack|6.2|½-½|125
Download PGNView game in new windowView game|2013-08-27|Tomashevsky, Evgeny|Andreikin, Dmitry|2706|2716|2711|FIDE World Cup 2013|Tromso NOR|D36|Queen's Gambit Declined, Exchange Variation, Reshevsky Variation|6.2|½-½|29
Download PGNView game in new windowView game|2013-08-26|Andreikin, Dmitry|Tomashevsky, Evgeny|2716|2706|2711|FIDE World Cup 2013|Tromso NOR|D45|Semi-Slav Defense, Accelerated Meran Variation|6.1|½-½|14
Download PGNView game in new windowView game|2013-08-26|Vachier-Lagrave, Maxime|Kramnik, Vladimir|2719|2784|2751|FIDE World Cup 2013|Tromso NOR|E21|Nimzo-Indian Defense, Three Knights Variation|6.1|½-½|16
Download PGNView game in new windowView game|2013-08-25|Caruana, Fabiano|Vachier-Lagrave, Maxime|2796|2719|2757|FIDE World Cup 2013|Tromso NOR|D12|Slav Defense, Quiet Variation, Pin Defense|5.3|½-½|55
Download PGNView game in new windowView game|2013-08-25|Vachier-Lagrave, Maxime|Caruana, Fabiano|2719|2796|2757|FIDE World Cup 2013|Tromso NOR|A81|Dutch Defense, Fianchetto Attack|5.4|1-0|66
Download PGNView game in new windowView game|2013-08-25|Andreikin, Dmitry|Svidler, Peter|2716|2746|2731|FIDE World Cup 2013|Tromso NOR|A45|Trompowsky Attack, Classical Defense|5.3|1-0|30
Download PGNView game in new windowView game|2013-08-25|Svidler, Peter|Andreikin, Dmitry|2746|2716|2731|FIDE World Cup 2013|Tromso NOR|B12|Caro-Kann Defense, Advance Variation, Botvinnik-Carls Defense|5.4|½-½|37
Download PGNView game in new windowView game|2013-08-24|Caruana, Fabiano|Vachier-Lagrave, Maxime|2796|2719|2757|FIDE World Cup 2013|Tromso NOR|D11|Slav Defense, Modern Line|5.2|½-½|55
Download PGNView game in new windowView game|2013-08-24|Korobov, Anton|Kramnik, Vladimir|2720|2784|2752|FIDE World Cup 2013|Tromso NOR|E30|Nimzo-Indian Defense, Leningrad Variation|5.2|½-½|58
Download PGNView game in new windowView game|2013-08-24|Kamsky, Gata|Tomashevsky, Evgeny|2741|2706|2723|FIDE World Cup 2013|Tromso NOR|C84|Spanish Game, Closed Variations|5.2|0-1|40
Download PGNView game in new windowView game|2013-08-24|Svidler, Peter|Andreikin, Dmitry|2746|2716|2731|FIDE World Cup 2013|Tromso NOR|B12|Caro-Kann Defense, Advance Variation, Botvinnik-Carls Defense|5.2|½-½|20
Download PGNView game in new windowView game|2013-08-23|Andreikin, Dmitry|Svidler, Peter|2716|2746|2731|FIDE World Cup 2013|Tromso NOR|A48|Torre Attack, Fianchetto Defense, Euwe Variation|5.1|½-½|30
Download PGNView game in new windowView game|2013-08-23|Kramnik, Vladimir|Korobov, Anton|2784|2720|2752|FIDE World Cup 2013|Tromso NOR|D16|Slav Defense, Soultanbeieff Variation|5.1|1-0|51
Download PGNView game in new windowView game|2013-08-23|Tomashevsky, Evgeny|Kamsky, Gata|2706|2741|2723|FIDE World Cup 2013|Tromso NOR|D15|Slav Defense, Chameleon Variation|5.1|½-½|16
Download PGNView game in new windowView game|2013-08-23|Vachier-Lagrave, Maxime|Caruana, Fabiano|2719|2796|2757|FIDE World Cup 2013|Tromso NOR|D85|Gruenfeld Defense, Exchange Variation, Modern Exchange Variation|5.1|½-½|61
Download PGNView game in new windowView game|2013-08-22|Le, Quang Liem|Svidler, Peter|2702|2746|2724|FIDE World Cup 2013|Tromso NOR|A15|English Opening, Anglo-Indian Defense, King's Indian Formation|4.3|½-½|49
Download PGNView game in new windowView game|2013-08-22|Tomashevsky, Evgeny|Morozevich, Alexander|2706|2739|2722|FIDE World Cup 2013|Tromso NOR|A10|English Opening, General|4.8|½-½|44
Download PGNView game in new windowView game|2013-08-22|Svidler, Peter|Le, Quang Liem|2746|2702|2724|FIDE World Cup 2013|Tromso NOR|D10|Slav Defense, General|4.4|1-0|135
Download PGNView game in new windowView game|2013-08-22|Gelfand, Boris|Vachier-Lagrave, Maxime|2764|2719|2741|FIDE World Cup 2013|Tromso NOR|D12|Slav Defense, Quiet Variation, Pin Defense|4.4|½-½|72
Download PGNView game in new windowView game|2013-08-22|Andreikin, Dmitry|Karjakin, Sergey|2716|2772|2744|FIDE World Cup 2013|Tromso NOR|A46|Torre Attack, Classical Defense|4.3|1-0|32
Download PGNView game in new windowView game|2013-08-22|Tomashevsky, Evgeny|Morozevich, Alexander|2706|2739|2722|FIDE World Cup 2013|Tromso NOR|D85|Gruenfeld Defense, Exchange Variation|4.3|½-½|65
Download PGNView game in new windowView game|2013-08-22|Tomashevsky, Evgeny|Morozevich, Alexander|2706|2739|2722|FIDE World Cup 2013|Tromso NOR|D85|Gruenfeld Defense, Exchange Variation|4.5|0-1|36
Download PGNView game in new windowView game|2013-08-22|Vachier-Lagrave, Maxime|Gelfand, Boris|2719|2764|2741|FIDE World Cup 2013|Tromso NOR|D87|Gruenfeld Defense, Exchange Variation, Spassky Variation|4.3|1-0|68
Download PGNView game in new windowView game|2013-08-22|Morozevich, Alexander|Tomashevsky, Evgeny|2739|2706|2722|FIDE World Cup 2013|Tromso NOR|C77|Spanish Game, Morphy Defense, Anderssen Variation|4.4|½-½|59
Download PGNView game in new windowView game|2013-08-22|Morozevich, Alexander|Tomashevsky, Evgeny|2739|2706|2722|FIDE World Cup 2013|Tromso NOR|B13|Caro-Kann Defense, Exchange Variation|4.6|0-1|169
Download PGNView game in new windowView game|2013-08-22|Morozevich, Alexander|Tomashevsky, Evgeny|2739|2706|2722|FIDE World Cup 2013|Tromso NOR|B12|Caro-Kann Defense, Advance Variation|4.7|0-1|56
Download PGNView game in new windowView game|2013-08-22|Karjakin, Sergey|Andreikin, Dmitry|2772|2716|2744|FIDE World Cup 2013|Tromso NOR|C11|French Defense, Steinitz Variation, Boleslavsky Variation|4.4|0-1|50
Download PGNView game in new windowView game|2013-08-21|Kramnik, Vladimir|Ivanchuk, Vassily|2784|2731|2757|FIDE World Cup 2013|Tromso NOR|A04|Zukertort Opening, Queenside Fianchetto Variation|4.2|½-½|30
Download PGNView game in new windowView game|2013-08-21|Svidler, Peter|Le, Quang Liem|2746|2702|2724|FIDE World Cup 2013|Tromso NOR|D10|Slav Defense, Exchange Variation|4.2|½-½|24
Download PGNView game in new windowView game|2013-08-21|Korobov, Anton|Nakamura, Hikaru|2720|2772|2746|FIDE World Cup 2013|Tromso NOR|D31|Semi-Slav Defense, Acclerated Move Order|4.2|1-0|47
Download PGNView game in new windowView game|2013-08-21|Gelfand, Boris|Vachier-Lagrave, Maxime|2764|2719|2741|FIDE World Cup 2013|Tromso NOR|D12|Slav Defense, Quiet Variation, Pin Defense|4.2|½-½|43
Download PGNView game in new windowView game|2013-08-21|Mamedyarov, Shakhriyar|Kamsky, Gata|2775|2741|2758|FIDE World Cup 2013|Tromso NOR|D90|Gruenfeld Defense, Three Knights Variation|4.2|½-½|34
Download PGNView game in new windowView game|2013-08-21|Tomashevsky, Evgeny|Morozevich, Alexander|2706|2739|2722|FIDE World Cup 2013|Tromso NOR|E71|King's Indian Defense, Makagonov Variation|4.2|½-½|34
Download PGNView game in new windowView game|2013-08-21|Karjakin, Sergey|Andreikin, Dmitry|2772|2716|2744|FIDE World Cup 2013|Tromso NOR|C10|French Defense, Normal Variation|4.2|½-½|37
Download PGNView game in new windowView game|2013-08-20|Le, Quang Liem|Svidler, Peter|2702|2746|2724|FIDE World Cup 2013|Tromso NOR|A31|English Opening, Symmetrical Variation, Anti-Benoni Variation|4.1|½-½|38
Download PGNView game in new windowView game|2013-08-20|Andreikin, Dmitry|Karjakin, Sergey|2716|2772|2744|FIDE World Cup 2013|Tromso NOR|E12|Queen's Indian Defense, Kasparov-Petrosian Variation, Petrosian Attack|4.1|½-½|18
